Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/Lithuania/IBT-LSC-VU_r12_36/2021	EPI_ISL_2497531	2021-05-29	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/IBT-LSC-VU_r12_43/2021	EPI_ISL_2497538	2021-05-27	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/MR-LUHS-11-15/2021	EPI_ISL_2497851	2021-05-28	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/MR-LUHS-11-78/2021	EPI_ISL_2497856	2021-05-28	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/MR-LUHS-11-68/2021	EPI_ISL_2497860	2021-05-25	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/MR-LUHS-11-69/2021	EPI_ISL_2497863	2021-05-26	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Switzerland/VD-CHUV-GEN5255/2021	EPI_ISL_2500528	2021-05-31	Europe / Switzerland / Vaud				
hCoV-19/Lithuania/LTU000_REZUS_05_18_126/2021	EPI_ISL_2509532	2021-05-18	Europe / Lithuania / Siauliu apskritis				
hCoV-19/Lithuania/LTU000_KNS_ANT_05_24_79/2021	EPI_ISL_2509571	2021-05-18	Europe / Lithuania / Kauno apskritis				
hCoV-19/Lithuania/LTU000_MB_MB33280/2021	EPI_ISL_2509615	2021-05-18	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_MP_LT124p/2021	EPI_ISL_2509666	2021-05-19	Europe / Lithuania / Panevezio apskritis				
hCoV-19/Lithuania/LTU000_INMEDICA_439999/2021	EPI_ISL_2509802	2021-05-20	Europe / Lithuania / Alytaus apskritis				
hCoV-19/Lithuania/LTU000_MP_LP53p/2021	EPI_ISL_2509872	2021-05-21	Europe / Lithuania / Panevezio apskritis				
hCoV-19/France/ARA-CHUGA-1053852789/2021	EPI_ISL_2510090	2021-05-27	Europe / France / Auvergne-Rhone-Alpes / Grenoble				
hCoV-19/Lithuania/S21E986/2021	EPI_ISL_2510701	2021-05-10	Europe / Lithuania / Utenos apskritis				
hCoV-19/France/IDF-IPP13808/2021	EPI_ISL_2531831	2021-06-02	Europe / France / Ile-de-France / Cergy Pontoise				
hCoV-19/France/CVL-IPP13776/2021	EPI_ISL_2532297	2021-05-25	Europe / France / Centre Val de Loire / Tours				
hCoV-19/USA/WA-CDC-4139020-001/2021	EPI_ISL_2534007	2021-03-25	North America / USA / Washington				
hCoV-19/USA/IN-GD-SID-C21185714/2021	EPI_ISL_2535955	2021-05-18	North America / USA / Indiana				
hCoV-19/Czech Republic/FNB30562/2021	EPI_ISL_2545564	2021-04-16	Europe / Czech Republic / Brno				
hCoV-19/France/IDF-CERBAHC-HTNG3AFX2-S39/2021	EPI_ISL_2562034	2021-03-30	Europe / France / Ile-de-France				
hCoV-19/France/ARA-HCL990000210774/2021	EPI_ISL_2567523	2021-05-22	Europe / France / Auvergne-Rhone-Alpes / Lyon				
